donor_id,first_name,last_name,email,phone,address_line1,city,postcode,acquisition_date,acquisition_channel,donor_status,communication_preference
1084,Danny,Dawson,danny.dawson@btinternet.com,+441632 960 694,88 Barnes groves,London,M3 6BY,2024-06-29,Online,Active,Email
1085,Annette,Howard,annette.howard@yahoo.co.uk,0114 496 0494,1 Kathleen ways,Liverpool,W4 4WG,2023-10-02,Telemarkating,Active,Post
1086,Nicholas,Stone,nicholas.stone@outlook.com,0141 496 0223,290 Nelson mountain,New Tina,SO8X 4TW,2023-05-10,Online,Active,Post
1087,Alice,Bailey,alice.bailey@outlook.com,+44(0)131 496 0446,52 Morgan estate,Leeds,M8 3YU,2024-10-29,Online,Active,Post
1088,Henry,Howells,henry.howells@yahoo.co.uk,(0141) 496 0351,"Studio 8
Alan drives",Nottingham,L1 8WT,2024-01-13,Event,Active,Post
1089,Melissa,Quinn,melissa.quinn@yahoo.co.uk,(0115)4960118,115 Taylor mountain,Nottingham,E30 1DA,2024-12-28,Direct Mail,Lapsed,Email
1090,Amanda,Charlton,amanda.charlton@outlook.com,+44(0)131 4960385,"Flat 6
Potter plain",Leeds,N41 3AA,2024-11-29,Telemarkating,Lapsed,Phone
1091,Ashleigh,Wright,ashleigh.wright@yahoo.co.uk,,231 Joshua rest,Janemouth,NE1 8AU,2024-07-27,Direct Mail,Lapsed,Post
1092,Ricky,White,ricky.white@outlook.com,,"Flat 65
Steven alley",London,WN3R 0TT,2024-06-07,Event,Lapsed,Post
1093,Reece,Whitehouse,reece.whitehouse@gmail.com,+44116 496 0872,202 Hall underpass,East Edwardfort,M8A 9GY,2024-03-17,Telemarkating,Lapsed,Email
1094,Ricky,Ferguson,ricky.ferguson@hotmail.co.uk,(0161) 4960358,34 Christopher rue,Manchester,EX3 5EA,2022-11-23,Online,Lapsed,Post
1095,Dennis,Roberts,dennis.roberts@gmail.com,01514960451,"Studio 49O
Kathryn road",Manchester,SY8 7AG,2020-03-06,Direct Mail,Active,Post
1096,Ashleigh,Powell,ashleigh.powell@btinternet.com,+44(0)141 496 0878,"Studio 11D
Irene place",Walshfort,L9F 4UB,2022-05-09,Direct Mail,Active,Email
1097,Paige,Taylor,paige.taylor@hotmail.co.uk,,3 Jessica path,Port Staceyville,YO5H 1SN,2020-01-20,Telemarkating,Active,Email
1098,Mohamed,Hughes,mohamed.hughes@btinternet.com,01632 960447,9 King points,West Gerald,AL8 7UW,2021-10-11,Direct Mail,Active,Post
1099,Carolyn,Read,carolyn.read@btinternet.com,(0306) 9990006,"Flat 1
Anne drive",New Suzanneburgh,E6 3UR,2021-05-22,Event,Active,Email
1100,Danny,Akhtar,danny.akhtar@hotmail.co.uk,+441632960555,"Studio 66
Mason burg",Juneburgh,HU3R 4EQ,2020-02-03,Direct Mail,Active,Post
1101,Gemma,Payne,gemma.payne@btinternet.com,+44(0)29 2018 0569,"Flat 53t
Robinson place",Manchester,G2D 2WH,2023-06-14,Event,Active,None
1102,David,Khan,,(0141) 4960241,021 Edwards cliffs,Liverpool,W52 4DS,2023-02-15,Online,Active,Post
1103,Bryan,Gill,,+44115 496 0616,079 Kathleen flats,London,HG6Y 7ZU,2022-03-14,Direct Mail,Active,Email
1104,Ian,Connor,,0117 496 0106,"Studio 2
Mills brook",Newcastle,M5S 3TH,2020-12-16,Legacy,Active,Phone
1105,Emily,Pollard,emily.pollard@hotmail.co.uk,+448081570163,"Flat 73A
Harry centers",Elliotburgh,E4 4GW,2023-06-01,Direct Mail,Active,Email
1106,Susan,Pearson,susan.pearson,0141 496 0869,"Flat 79
Hussain port",Amandachester,CT55 1GU,2021-11-18,Online,Active,Post
1107,Rosemary,Oliver,rosemary.oliver@hotmail.co.uk,+44141 4960865,0 Carl way,Newcastle,E79 9HB,2024-01-26,Event,Active,Email
1108,Dorothy,Kaur,dorothy.kaur@btinternet.com,+44(0)115 4960480,262 Matthews cliffs,South Hayley,S9 7LB,2024-12-24,Event,Lapsed,Post
1109,Kerry,Atkinson,kerry.atkinson@gmail.com,+44292018105,"Studio 72s
Williams crescent",Frederickmouth,AB6 2AH,2023-12-30,Direct Mail,Active,Email
1110,Leigh,Dennis,leigh.dennis@outlook.com,(029)2018552,"Studio 97x
Tomlinson cove",London,M5U 6GT,2022-10-27,Event,Lapsed,Email
1111,Maria,Hudson,maria.hudson@hotmail.co.uk,+44(0)118 496 0900,956 Sanders lodge,Cliffordton,AX57 4JK,2021-10-30,Online,Active,Email
1112,Lynn,Barnett,lynn.barnett@outlook.com,0151 4960878,94 Marsh orchard,Birmingham,E3 9GP,2024-05-01,Event,Lapsed,Email
1113,Judith,Hooper,judith.hooper@outlook.com,+44(0)1514960889,"Flat 62m
Charles walk",Liverpool,HD0M 8ZS,2020-06-02,Direct Mail,Active,Email
1114,Jasmine,Harris,jasmine.harris@hotmail.co.uk,+441632 960 748,2 McDonald port,London,N2 1GZ,2021-12-24,Direct Mail,Active,Email
1115,Nicola,Harding,nicola.harding@gmail.com,+44(0)114 496 0239,05 Justin avenue,Liverpool,FK13 3YS,2023-07-22,Event,Active,Email
1116,Abdul,Whitehead,abdul.whitehead,,"Flat 7
Christian islands",London,ZE1M 2WW,2022-02-15,Event,Active,Post
1117,Trevor,Bailey,trevor.bailey@gmail.com,0116 496 0028,"Studio 41I
Nolan estates",Manchester,HU9P 0EP,2024-06-26,Event,Active,Email
1118,Rita,Carr,rita.carr@btinternet.com,+44116 496 0426,5 Robin walks,West Colinmouth,S69 5SR,2020-05-12,Event,Active,Email
1119,Conor,Jackson,conor.jackson@outlook.com,+44(0)29 2018528,52 Joanna brooks,New Dennisstad,IM90 0EA,2023-07-18,Telemarkating,Active,Post
1120,Graham,Russell,graham.russell@outlook.com,+441134960326,876 Mitchell track,London,WN0A 1RP,2022-04-27,Event,Active,Email
1121,Lawrence,Harrison,lawrence.harrison@btinternet.com,(0306)9990387,"Flat 57Q
Lamb loop",Bristol,E7D 3JX,2023-01-28,Telemarkating,Active,Email
1122,Conor,Berry,conor.berry@gmail.com,+441414960824,33 Berry mount,New Nicole,DH71 6DP,2024-03-01,Telemarkating,Lapsed,Email
1123,Martyn,Morrison,martyn.morrison@yahoo.co.uk,(0114) 4960196,"Flat 0
Kayleigh burgs",Dohertymouth,E7W 4PX,2020-05-27,Online,Active,Email
1124,Jeffrey,Simpson,jeffrey.simpson@btinternet.com,+44113 496 0005,21 Jason valleys,Liverpool,G4 4RY,2020-11-15,Event,Active,Email
1125,Hugh,Patel,hugh.patel@gmail.com,0118 4960294,"Studio 64
McDonald mission",Liverpool,RG58 8XK,2022-11-29,Telemarkating,Active,Email
1126,Ann,Yates,ann.yates@hotmail.co.uk,,390 Johnson parkways,Bristol,WN9 0PT,2024-04-14,Online,Lapsed,Email
1127,Lee,Clark,lee.clark@outlook.com,0292018389,839 Denise manors,Harriettown,M51 6RY,2023-06-03,Event,Active,Phone
1128,Debra,Clark,debra.clark@btinternet.com,+4429 2018746,"Studio 23J
Myers lakes",Ellisbury,N0 5JY,2024-06-01,Telemarkating,Lapsed,Email
1129,Sylvia,Hughes,sylvia.hughes@btinternet.com,0191 4960731,35 Karl orchard,Manchester,SW6X 3PG,2021-04-07,Event,Active,Phone
1130,Graham,Gibson,graham.gibson,+44(0)1134960368,85 Terry course,East Terenceland,WF28 6BJ,2024-04-18,Direct Mail,Lapsed,Email
1131,Jeremy,Law,jeremy.law@yahoo.co.uk,,352 Helen extensions,Liverpool,GY76 6JJ,2024-06-26,Online,Lapsed,Phone
1132,Rita,Wright,rita.wright@yahoo.co.uk,+4428 9018816,"Flat 06
Green curve",Mohammadport,S0F 9QS,2024-02-19,Direct Mail,Lapsed,Post
1133,Annette,Matthews,annette.matthews@gmail.com,+448081570523,"Flat 93
Craig islands",Birmingham,N04 5JP,2024-01-30,Online,Active,Phone
1134,Linda,Cartwright,linda.cartwright@hotmail.co.uk,(029)2018015,"Studio 68
Patel tunnel",Manchester,LA09 0GD,2023-02-20,Telemarkating,Lapsed,Email
1135,Julian,Gregory,julian.gregory@hotmail.co.uk,+44117 4960447,"Flat 40
Martin walks",London,KA3 7PT,2024-11-25,Direct Mail,Lapsed,Email
1136,Carole,Bryan,carole.bryan@outlook.com,+44808 157 0046,9 Stewart fords,North Lauren,L8 6PA,2024-04-15,Online,Active,Email
1137,Carl,Edwards,carl.edwards@yahoo.co.uk,01614960059,482 Davey land,Victortown,BD9 1WS,2024-03-21,Legacy,Active,Post
1138,Patrick,Akhtar,patrick.akhtar@hotmail.co.uk,0191 498 0563,"Flat 82m
Cook ridge",Manchester,W07 5JR,2023-06-11,Direct Mail,Active,Email
1139,Victoria,Roberts,victoria.roberts@yahoo.co.uk,,930 Ross square,Dickinsonburgh,IM4 7SH,2022-11-22,Event,Lapsed,Post
1140,Linda,Baxter,linda.baxter@outlook.com,+44116 4960597,25 Jemma villages,Mooremouth,W90 2AF,2024-02-14,Event,Lapsed,Email
1141,Sean,Chambers,sean.chambers@btinternet.com,(0114)4960866,"Flat 33y
Young brook",London,E89 3NQ,2023-08-01,Online,Active,Post
1142,Eleanor,Robinson,eleanor.robinson@yahoo.co.uk,+44161 496 0927,"Studio 77
Callum stream",London,SS7R 6QH,2022-01-17,Telemarkating,Active,Email
1143,Jacqueline,Gray,jacqueline.gray@gmail.com,01314960794,"Studio 7
Archer unions",Port Clive,B29 3YU,2021-11-09,Online,Active,Post
1144,Adam,Murray,adam.murray@hotmail.co.uk,,53 Caroline underpass,London,M2 4UA,2023-05-08,Online,Active,Email
1145,Sharon,Chambers,sharon.chambers@hotmail.co.uk,+44(0)289018723,"Studio 95
Lawson canyon",London,G4F 4ZS,2024-11-04,Online,Lapsed,Phone
1146,Rebecca,Hardy,rebecca.hardy@gmail.com,+44113 496 0957,"Studio 57
Jack springs",Sheffield,N42 4FU,2024-02-07,Online,Active,Email
1147,Julian,Gilbert,julian.gilbert@gmail.com,+44(0)1614960902,491 Charles vista,North Brucemouth,HG0V 9ZL,2024-11-01,Direct Mail,Lapsed,Email
1148,Mitchell,Ahmed,,(028) 9018 0122,03 Frost loaf,Newcastle,SY3Y 4HD,2024-12-26,Telemarkating,Lapsed,None
1149,Georgina,Hayes,georgina.hayes@outlook.com,(0115) 4960775,"Flat 22G
Shannon rapids",Bristol,IM6 2GG,2024-12-29,Direct Mail,Lapsed,Email
1150,Stephen,Hayes,stephen.hayes@btinternet.com,+44(0)113 496 0875,"Flat 15O
Murphy point",Leeds,CB9A 0UF,2024-09-06,Direct Mail,Lapsed,Email
1151,Karen,Tucker,karen.tucker,,1 Parker stream,New Williamshire,M37 9RJ,2024-03-25,Online,Active,Email
1152,Barbara,Carr,barbara.carr@gmail.com,+44(0)117 4960678,91 Tracey islands,Birmingham,DE12 4SN,2020-02-06,Direct Mail,Active,Email
1153,Rhys,Phillips,rhys.phillips@hotmail.co.uk,+441632 960171,5 Carter branch,Hayesmouth,L3G 9GG,2021-05-27,Online,Active,Post
1154,Rosie,Jones,,+44(0)28 9018983,796 Saunders park,Boothmouth,WN1 4PW,2024-05-28,Direct Mail,Lapsed,None
1155,Billy,Boyle,billy.boyle@yahoo.co.uk,+44114 496 0707,6 Parkes burgs,Abbieborough,E15 0FD,2022-10-19,Online,Active,Phone
1156,Diane,Lawrence,diane.lawrence@outlook.com,+44(0)808 157 0158,"Studio 86L
Christian avenue",Leonardberg,SS1Y 1BF,2021-11-17,Legacy,Active,Email
1157,Patricia,Bell,patricia.bell@yahoo.co.uk,+4420 74960268,"Flat 1
Jack fall",London,SN7H 3LD,2024-07-04,Online,Lapsed,Phone
1158,Leslie,Charlton,leslie.charlton@btinternet.com,+44(0)1914960498,"Studio 44
Malcolm square",Sylviafurt,WV0W 4EU,2023-01-05,Legacy,Active,Email
1159,Lisa,Jones,lisa.jones@hotmail.co.uk,+44117 4960239,9 Smith stravenue,North Stuartside,B7 1NW,2023-09-30,Legacy,Lapsed,Post
1160,Edward,Atkinson,edward.atkinson@btinternet.com,+44(0)292018106,"Flat 5
Swift island",London,G89 1QD,2023-05-09,Event,Active,Email
1161,Carole,Carpenter,carole.carpenter@yahoo.co.uk,0161 4960459,80 Page rapids,London,WN1X 4YW,2023-09-20,Direct Mail,Active,Phone
1162,Gareth,Jennings,gareth.jennings@btinternet.com,+449098790530,"Flat 87E
Mary garden",London,E69 1QU,2020-10-24,Online,Active,None
1163,Abbie,Jones,abbie.jones@yahoo.co.uk,02074960060,166 Lewis point,South Ann,M7D 0PB,2024-11-09,Direct Mail,Lapsed,Post
1164,Ryan,Hawkins,ryan.hawkins@hotmail.co.uk,0113 4960057,995 Johnson forge,Birmingham,CH0 4GP,2022-01-31,Online,Active,Email
1165,Leonard,Wilson,leonard.wilson@hotmail.co.uk,02074960266,"Studio 16e
Thomas rapids",West Elliott,M1 4LH,2022-05-23,Direct Mail,Active,Email
1166,Colin,Allen,colin.allen@gmail.com,(0151)4960782,"Flat 97H
Annette turnpike",Liverpool,HG71 9DW,2024-12-18,Legacy,Lapsed,Post
1167,Eric,Nelson,eric.nelson@hotmail.co.uk,+442074960217,"Flat 54
Wood shore",North Geraldineburgh,JY87 6RL,2023-03-18,Online,Active,Phone
1168,Liam,Morris,,,"Studio 50
Karl estate",Natashaburgh,BA6 8ZB,2023-11-26,Online,Lapsed,Phone
1169,Irene,Brown,irene.brown@gmail.com,+44(0)121 496 0872,2 Smith land,Conorstad,SM30 4JU,2024-02-11,Telemarkating,Active,Post
1170,Mandy,Gregory,mandy.gregory,+44(0)1632960519,82 Kirsty village,Lake Cheryl,HG2R 3LG,2023-06-07,Direct Mail,Active,Phone
1171,Janice,Weston,janice.weston@outlook.com,02074960851,"Flat 6
Thompson street",London,L6F 0UD,2024-09-16,Online,Lapsed,Email
1172,Barbara,Howell,barbara.howell@hotmail.co.uk,,17 Georgina creek,Geraldport,N0D 4TX,2022-10-05,Telemarkating,Active,None
1173,Jodie,Burke,jodie.burke@outlook.com,+44141 496 0417,25 Baldwin road,London,MK52 5SF,2021-02-03,Direct Mail,Active,Email
1174,Liam,Hewitt,liam.hewitt,+441134960714,388 Edwards forge,Brownside,G6 3HL,2024-03-30,Telemarkating,Lapsed,Phone
1175,Darren,Smith,darren.smith@outlook.com,(029)2018097,445 Hicks camp,Lake Jeremychester,WC50 3PB,2023-12-15,Direct Mail,Active,Email
1176,Rebecca,Fletcher,rebecca.fletcher@hotmail.co.uk,+44(0)20 7496 0942,255 Young pike,Lake Martin,W59 6LW,2020-09-08,Telemarkating,Lapsed,Phone
1177,Kate,Dawson,kate.dawson@hotmail.co.uk,+441134960932,"Flat 8
Ford forges",West Leonshire,N0 9XG,2024-12-28,Legacy,Lapsed,Post
1178,Hugh,Young,hugh.young@gmail.com,+44(0)131 4960492,"Studio 94
Natalie stravenue",Newcastle,LU4V 6BB,2024-05-29,Telemarkating,Active,Phone
