donor_id,email_primary,mobile,address_line1,city,postcode,acquisition_date,acquisition_channel,donor_status,communication_preference,email_secondary,landline,address_line2,county,data_source,record_created_date,record_modified_date,full_name
1014,tracey.butcher@yahoo.co.uk,+44(0)1632960413,"Studio 84
Glenn throughway",Vincentview,S71 3NP,2020-11-02,Telemarkating,Active,Email,tracey_768@yahoo.co.uk,,Studio 28,Angus,CRM,2020-11-02,2022-05-16,Tracey Butcher
1015,lindsey.hawkins@yahoo.co.uk,+441184960089,66 Jasmine orchard,London,N21 4LS,2023-10-28,Online,Active,Post,,,,Argyll and Bute,CRM,2023-10-28,2024-11-15,Lindsey Hawkins
1016,dawn.wallace@yahoo.co.uk,0306 9990515,149 Justin islands,Douglasbury,GU0 7LY,2023-06-07,Online,Active,None,,+44(0)808 157 0147,Studio 2,Cheshire,CRM,2023-06-07,2023-07-10,Dawn Wallace
1017,jason.mitchell@hotmail.co.uk,,"Studio 67
Duncan isle",London,W30 6BS,2024-09-21,Telemarkating,Lapsed,Phone,,,,Norfolk,CRM,2024-09-21,2025-03-27,Jason Mitchell
1018,leon.bailey@yahoo.co.uk,(0141) 4960605,"Flat 1
Hughes mount",Newcastle,EC5 0DZ,2023-02-25,Telemarkating,Lapsed,Email,,,,Down,CRM,2023-02-25,2023-12-27,Leon Bailey
1019,anna.ellis@outlook.com,+44(0)118 496 0193,"Studio 32
Steele grove",London,N6 8JG,2021-04-17,Online,Active,Email,,,Flat 27,Hampshire,CRM,2021-04-17,2022-12-29,Anna Ellis
1020,,,"Studio 92n
Leonard bridge",New Hayley,DG6W 2XX,2022-06-04,Online,Lapsed,Phone,,+44(0)1914960461,,South Ayrshire,CRM,2022-06-04,2022-10-26,Jack Lewis
1021,clive.kelly@btinternet.com,,81 Smith forges,Bristol,L8 7WW,2022-03-01,Online,Active,Post,,,,Anglesey,CRM,2022-03-01,2023-02-26,Clive Kelly
1022,louis.stephenson@yahoo.co.uk,+44161 496 0995,2 Damien springs,London,B04 0XH,2021-09-14,Telemarkating,Active,Email,,,,,CRM,2021-09-14,2022-09-22,Louis Stephenson
1023,bethany.morgan@btinternet.com,+44(0)151 496 0984,20 Hugh row,South Laura,B6 9QA,2024-05-09,Event,Active,Email,,+44113 4960422,,Dundee City,CRM,2024-05-09,2026-03-25,Bethany Morgan
1024,hannah.bibi@hotmail.co.uk,(0113) 4960713,33 Brown oval,London,B6 9FR,2020-03-16,Telemarkating,Active,Post,hannah_148@yahoo.co.uk,+44(0)115 496 0271,,West Lothian,CRM,2020-03-16,2021-10-11,Hannah Bibi
1025,heather.lewis@yahoo.co.uk,(0909) 8790582,34 Duffy rue,Dickinsonfurt,TF6 3YF,2024-02-07,Event,Active,Email,,01414960408,,,CRM,2024-02-07,2025-12-10,Heather Lewis
1026,sheila.ball@yahoo.co.uk,+4420 7496 0097,"Studio 99
Powell isle",Port Scottshire,HD1 2YB,2022-08-24,Online,Active,Phone,,,,Merionethshire,CRM,2022-08-24,2023-10-20,Sheila Ball
1027,rebecca.shah@outlook.com,+44151 496 0341,69 Wendy lake,Port Lindaport,L1C 3TY,2023-09-09,Online,Lapsed,Email,rebecca_340@yahoo.co.uk,,Flat 11m,Carmarthenshire,CRM,2023-09-09,2023-10-26,Rebecca Shah
1028,leonard.frost@btinternet.com,(0118) 496 0838,95 Hamilton light,London,CW2E 8WG,2022-03-09,Online,Active,Post,,(0114) 496 0875,,City of Edinburgh,CRM,2022-03-09,2023-05-29,Leonard Frost
1029,sally.webster@yahoo.co.uk,+44(0)1134960696,"Studio 9
Victor shore",Manchester,S9J 0JP,2023-06-09,Telemarkating,Active,Email,,,Studio 35,Warwickshire,CRM,2023-06-09,2023-07-21,Sally Webster
1030,ashleigh.smith@gmail.com,0161 496 0867,"Flat 1
Ross tunnel",London,M6 6HP,2021-04-02,Event,Active,Post,,(028) 9018 0651,,Carmarthenshire,CRM,2021-04-02,2021-12-28,Ashleigh Smith
1031,barry.wilson@outlook.com,,"Flat 1
Jason trafficway",West Rosemaryton,EC82 4XE,2023-05-13,Event,Active,Email,,,,West Berkshire,CRM,2023-05-13,2025-03-01,Barry Wilson
1032,molly.williams@btinternet.com,+44(0)1164960693,"Studio 90
Scott brook",Newcastle,TS4Y 8TF,2023-07-01,Direct Mail,Active,Email,,,,Dundee City,CRM,2023-07-01,2024-10-24,Molly Williams
1033,angela.bradley@outlook.com,+44(0)20 74960439,"Studio 0
Griffin ports",Sheffield,TQ9 0FD,2021-04-24,Online,Active,Post,,+44(0)114 496 0060,,City of Edinburgh,CRM,2021-04-24,2021-10-09,Angela Bradley
1034,paul.smith@hotmail.co.uk,+44113 4960062,"Flat 3
Gray shoal",Nottingham,EH1 9TH,2022-05-15,Direct Mail,Deceased,Phone,,,,North Lanarkshire,CRM,2022-05-15,2023-01-20,Paul Smith
1035,rita.archer@yahoo.co.uk,,9 Victor run,Lake Stuart,S0 4NJ,2021-08-28,Direct Mail,Active,Post,rita_310@gmail.com,,,Cambridgeshire,CRM,2021-08-28,2023-05-04,Rita Archer
1036,frederick.jones@gmail.com,+44(0)151 496 0332,6 Georgia lodge,London,L9W 7DA,2021-09-12,Online,Active,Email,,,,Tyne and Wear,CRM,2021-09-12,2022-10-05,Frederick Jones
1037,jodie.giles@yahoo.co.uk,,"Flat 13S
Duncan camp",Manchester,S2D 2BD,2021-10-19,Telemarkating,Lapsed,Phone,,(0161) 496 0240,,Antrim,CRM,2021-10-19,2022-01-20,Jodie Giles
1038,carol.phillips@btinternet.com,,84 Owen curve,Port Valerieview,M29 0XL,2023-08-22,Telemarkating,Active,Phone,,(0909) 879 0800,Studio 59F,Scottish Borders,CRM,2023-08-22,2024-07-06,Carol Phillips
1039,neil.kaur@hotmail.co.uk,0161 4960884,37 Cook crossing,Birmingham,N54 6PF,2021-11-20,Telemarkating,Active,Post,,,,Aberdeenshire,CRM,2021-11-20,2023-07-25,Neil Kaur
1040,christian.clark@yahoo.co.uk,+44(0)121 4960391,"Flat 21
King fall",Frankview,E7W 0EZ,2024-02-21,Telemarkating,Deceased,Email,,+44(0)161 496 0988,Flat 43Q,Durham,CRM,2024-02-21,2025-05-23,Christian Clark
1041,kayleigh.mitchell,+441632 960175,8 Brown stravenue,London,N85 3TA,2021-01-01,Online,Active,Email,kayleigh_453@gmail.com,+44(0)118 4960720,,Shropshire,CRM,2021-01-01,2022-07-08,Kayleigh Mitchell
1042,graham.browne@gmail.com,01632 960945,"Studio 23L
Hilary track",Birmingham,E6 2EP,2024-12-12,Telemarkating,Lapsed,Email,,,Studio 2,,CRM,2024-12-12,2025-04-12,Graham Browne
1043,dorothy.winter@outlook.com,0116 4960062,8 Wright curve,Manchester,OX6 7LH,2023-05-16,Direct Mail,Active,Email,dorothy_401@yahoo.co.uk,+44808 157 0277,,East Dunbartonshire,CRM,2023-05-16,2025-01-14,Dorothy Winter
1044,leah.hardy,+44(0)28 9018470,"Flat 8
Conor mission",London,B8 7HH,2021-08-08,Online,Active,Phone,,,,Cleveland,CRM,2021-08-08,2022-10-13,Leah Hardy
1045,liam.thompson@gmail.com,(0113)4960929,"Studio 15t
Chambers knolls",West Patrick,M2E 2GS,2022-09-08,Direct Mail,Active,Post,liam_709@yahoo.co.uk,0909 8790857,,Cheshire,CRM,2022-09-08,2022-12-04,Liam Thompson
1046,ryan.porter@hotmail.co.uk,+44(0)114 496 0756,"Flat 9
Lowe hollow",Sheffield,SK0 3PG,2022-01-21,Legacy,Lapsed,None,,,,Radnorshire,CRM,2022-01-21,2022-05-21,Ryan Porter
1047,lesley.robinson@gmail.com,+44118 496 0766,"Flat 82
Smith field",Manchester,DT38 2UQ,2022-09-10,Direct Mail,Active,Email,,,,Dundee City,CRM,2022-09-10,2023-01-07,Lesley Robinson
1048,amber.howard@yahoo.co.uk,(028)9018976,"Flat 93
Zoe trafficway",Bondton,SW19 1WY,2022-07-01,Online,Active,Post,,08081570623,,Fife,CRM,2022-07-01,2023-07-16,Amber Howard
1049,shane.cook@hotmail.co.uk,(028) 9018 0491,"Flat 3
Denis tunnel",Leeds,W6 6XE,2023-05-06,Online,Active,Email,,,Studio 7,Merionethshire,CRM,2023-05-06,2023-11-13,Shane Cook
1050,gordon.o'connor,,620 White park,Liverpool,BD3N 4PS,2024-08-19,Online,Active,Email,,01184960902,,Surrey,CRM,2024-08-19,2025-08-10,Gordon O'Connor
1051,paul.goodwin@btinternet.com,(0115) 4960637,"Studio 61
Mark haven",Lake Ameliachester,BL2 8HP,2023-11-11,Legacy,Active,Email,,,,,CRM,2023-11-11,2025-08-06,Paul Goodwin
1052,jonathan.nash@gmail.com,+44(0)118 496 0480,"Studio 05
Stephenson manor",London,LD4X 4BW,2023-10-25,Event,Active,Email,,0151 4960710,,West Midlands,CRM,2023-10-25,2025-07-04,Jonathan Nash
1053,jacob.thomas@outlook.com,(020)74960751,"Flat 37O
Jay circle",Port Suzanne,CA6 7UR,2024-01-05,Direct Mail,Lapsed,Post,,,,Argyll and Bute,CRM,2024-01-05,2024-11-01,Jacob Thomas
1054,jane.chapman@btinternet.com,,"Studio 76a
Marshall point",South Stanleytown,S6 4ZX,2023-07-12,Direct Mail,Active,Email,,,,,CRM,2023-07-12,2023-09-22,Jane Chapman
1055,emma.taylor@yahoo.co.uk,01614960863,"Studio 16
Oliver junction",Eleanorborough,B63 7ET,2024-05-30,Online,Lapsed,Email,,,,Derbyshire,CRM,2024-05-30,2024-10-16,Emma Taylor
1056,elaine.douglas@outlook.com,0289018550,"Flat 9
Gould green",Leeds,N9T 1FE,2020-09-08,Direct Mail,Active,Post,,(0161)4960672,Studio 69,,CRM,2020-09-08,2021-04-13,Elaine Douglas
1057,alice.freeman@gmail.com,,785 Howard lights,Stewartland,E4 3ET,2020-06-16,Direct Mail,Active,Email,,,,West Yorkshire,CRM,2020-06-16,2022-02-07,Alice Freeman
1058,alan.berry@gmail.com,+44113 496 0833,473 Denis mills,East Howard,SO2 1YD,2023-02-11,Online,Active,Post,alan_418@gmail.com,,Flat 49,Denbighshire,CRM,2023-02-11,2023-06-20,Alan Berry
1059,josephine.barnes@gmail.com,+44(0)121 4960363,"Flat 98
Kimberley isle",Bristol,G2 1GU,2022-06-25,Telemarkating,Active,Email,,,,Orkney Islands,CRM,2022-06-25,2024-03-18,Josephine Barnes
1060,kieran.power@btinternet.com,(028)9018197,545 Dennis throughway,Riceberg,ME9P 5LW,2022-05-22,Online,Lapsed,Phone,kieran_571@gmail.com,(0141)4960017,Studio 45k,Lancashire,CRM,2022-05-22,2023-12-23,Kieran Power
1061,hugh.moran@btinternet.com,,"Studio 56
Anne ridge",Timothyborough,YO3 8RQ,2024-07-29,Online,Lapsed,Post,hugh_503@gmail.com,0118 4960511,Flat 77,Clackmannanshire,CRM,2024-07-29,2024-10-30,Hugh Moran
1062,jack.carter@outlook.com,+44161 496 0334,"Flat 3
Lynn ramp",London,WC1 3HJ,2024-12-02,Direct Mail,Lapsed,Post,,,,Cardiganshire,CRM,2024-12-02,2025-12-06,Jack Carter
1063,marian.fowler@yahoo.co.uk,+44114 496 0272,34 Sims loop,Lake Benjaminland,DE6X 7QR,2021-09-14,Online,Active,Phone,,01632 960 750,,Fermanagh,CRM,2021-09-14,2022-12-26,Marian Fowler
1064,leanne.harvey@yahoo.co.uk,01164960208,32 Ruth fall,Manchester,B3 5HW,2024-02-11,Event,Active,Email,,,Flat 8,Merseyside,CRM,2024-02-11,2024-06-30,Leanne Harvey
1065,joe.davison@gmail.com,+441184960153,3 Heather stravenue,Leeds,LZ75 4UZ,2022-06-08,Event,Active,Phone,,+44191 4960613,,Staffordshire,CRM,2022-06-08,2023-06-02,Joe Davison
1066,jonathan.campbell@outlook.com,+44(0)28 9018950,33 Booth court,Manchester,L6 1ND,2024-12-10,Event,Lapsed,Post,,,Studio 1,,CRM,2024-12-10,2026-04-11,Jonathan Campbell
1067,jayne.carter@hotmail.co.uk,+44306 9990997,"Studio 02a
Houghton alley",London,S8 4HB,2020-09-19,Online,Active,Phone,jayne_393@gmail.com,,Flat 1,Leicestershire,CRM,2020-09-19,2021-09-30,Jayne Carter
1068,jodie.kennedy@outlook.com,0131 4960246,804 Aaron inlet,Bristol,MK5M 4BH,2023-02-28,Online,Active,Email,,(028)9018757,,,CRM,2023-02-28,2024-02-17,Jodie Kennedy
1069,alex.jenkins@outlook.com,,"Flat 16
Diane pines",Bristol,E86 1XP,2023-11-13,Online,Active,Email,,,,,CRM,2023-11-13,2024-09-11,Alex Jenkins
1070,mohammad.shah@gmail.com,+4420 74960077,"Flat 84
Judith vista",Birmingham,W56 5EX,2023-06-24,Event,Active,Post,,0114 496 0462,Flat 86,,CRM,2023-06-24,2023-12-11,Mohammad Shah
1071,alexander.scott@yahoo.co.uk,(0191)4960875,"Flat 55T
Moore springs",Newcastle,B07 0NZ,2021-06-25,Event,Active,Email,alexander_738@yahoo.co.uk,+44808 157 0558,,West Sussex,CRM,2021-06-25,2022-04-22,Alexander Scott
1072,debra.todd@outlook.com,+44(0)113 496 0897,77 Glenn land,Birmingham,ST05 9JX,2022-10-30,Event,Active,Post,,,Studio 90,,CRM,2022-10-30,2024-04-29,Debra Todd
1073,jeffrey.turnbull,+4429 2018157,"Flat 35
Smith estate",Newcastle,W00 4GU,2024-03-28,Event,Active,Post,,,Flat 32,Caernarvonshire,CRM,2024-03-28,2024-06-26,Jeffrey Turnbull
1074,diane.connolly@outlook.com,(01632) 960 062,30 Lee mills,Beverleyhaven,DE3 5WL,2020-01-01,Direct Mail,Active,Email,diane_698@gmail.com,,,Flintshire,CRM,2020-01-01,2020-08-13,Diane Connolly
1075,kenneth.jones@hotmail.co.uk,+4420 74960676,"Flat 57
Ashley plains",Leetown,KT1W 9DX,2021-08-30,Legacy,Active,Email,,,Flat 1,Northumberland,CRM,2021-08-30,2022-04-18,Kenneth Jones
1076,brett.smith@outlook.com,+44808 1570895,"Flat 94Y
Spencer trace",East Jack,E8B 0PW,2024-03-16,Event,Active,Post,,+44118 4960647,Flat 8,,CRM,2024-03-16,2025-12-29,Brett Smith
1077,maureen.kelly@gmail.com,(01632) 960 080,"Flat 9
Naomi cape",Leeds,PE1W 6WX,2023-06-25,Direct Mail,Active,Email,maureen_768@yahoo.co.uk,+441314960670,,Monmouthshire,CRM,2023-06-25,2025-02-16,Maureen Kelly
1078,cheryl.newman@btinternet.com,02074960375,9 Stone falls,London,N8E 6FQ,2021-02-05,Event,Active,Email,cheryl_109@gmail.com,(028) 9018891,,,CRM,2021-02-05,2022-04-25,Cheryl Newman
1079,geraldine.carroll@outlook.com,0121 4960628,"Flat 3
Ahmed ranch",Manchester,CL16 9VN,2020-11-13,Event,Lapsed,Email,,,,Kent,CRM,2020-11-13,2021-09-18,Geraldine Carroll
1080,beth.gibbs@yahoo.co.uk,(0161)4960568,1 Connor cove,Liverpool,S7 9LQ,2024-04-15,Legacy,Active,Phone,,,,Flintshire,CRM,2024-04-15,2024-10-26,Beth Gibbs
1081,harriet.edwards@gmail.com,0118 496 0941,236 Chelsea keys,East Eleanor,CT9 5ZE,2022-10-25,Online,Active,Phone,,,Studio 08,Devon,CRM,2022-10-25,2024-09-10,Harriet Edwards
1082,,0114 4960844,6 Page cliffs,East Edward,W61 9QU,2022-12-01,Legacy,Active,None,,,Flat 5,Cleveland,CRM,2022-12-01,2023-12-23,Sandra Bryan
1083,annette.baker@outlook.com,+441154960259,"Flat 33
Melanie station",London,W5J 4BA,2024-10-22,Online,Lapsed,Email,annette_691@gmail.com,,,Bedfordshire,CRM,2024-10-22,2025-09-26,Annette Baker
1084,danny.dawson@btinternet.com,+441632 960 694,88 Barnes groves,London,M3 6BY,2024-06-29,Online,Active,Email,,01134960974,,East Dunbartonshire,CRM,2024-06-29,2025-08-05,Danny Dawson
1085,annette.howard@yahoo.co.uk,0114 496 0494,1 Kathleen ways,Liverpool,W4 4WG,2023-10-02,Telemarkating,Active,Post,annette_654@gmail.com,(0151) 496 0477,,Dorset,CRM,2023-10-02,2024-06-29,Annette Howard
1086,nicholas.stone@outlook.com,0141 496 0223,290 Nelson mountain,New Tina,SO8X 4TW,2023-05-10,Online,Active,Post,,+44121 4960753,,Carmarthenshire,CRM,2023-05-10,2024-10-28,Nicholas Stone
1087,alice.bailey@outlook.com,+44(0)131 496 0446,52 Morgan estate,Leeds,M8 3YU,2024-10-29,Online,Active,Post,alice_308@gmail.com,,,Inverclyde,CRM,2024-10-29,2025-09-25,Alice Bailey
1088,henry.howells@yahoo.co.uk,(0141) 496 0351,"Studio 8
Alan drives",Nottingham,L1 8WT,2024-01-13,Event,Active,Post,,,,,CRM,2024-01-13,2025-01-21,Henry Howells
1089,melissa.quinn@yahoo.co.uk,(0115)4960118,115 Taylor mountain,Nottingham,E30 1DA,2024-12-28,Direct Mail,Lapsed,Email,,,,,CRM,2024-12-28,2025-05-20,Melissa Quinn
1090,amanda.charlton@outlook.com,+44(0)131 4960385,"Flat 6
Potter plain",Leeds,N41 3AA,2024-11-29,Telemarkating,Lapsed,Phone,,(0808)1570785,,Glasgow City,CRM,2024-11-29,2025-11-23,Amanda Charlton
1091,ashleigh.wright@yahoo.co.uk,,231 Joshua rest,Janemouth,NE1 8AU,2024-07-27,Direct Mail,Lapsed,Post,,,,Lancashire,CRM,2024-07-27,2025-12-30,Ashleigh Wright
1092,ricky.white@outlook.com,,"Flat 65
Steven alley",London,WN3R 0TT,2024-06-07,Event,Lapsed,Post,,0191 4960546,,Scottish Borders,CRM,2024-06-07,2024-09-21,Ricky White
1093,reece.whitehouse@gmail.com,+44116 496 0872,202 Hall underpass,East Edwardfort,M8A 9GY,2024-03-17,Telemarkating,Lapsed,Email,,+441144960293,,,CRM,2024-03-17,2024-09-17,Reece Whitehouse
1094,ricky.ferguson@hotmail.co.uk,(0161) 4960358,34 Christopher rue,Manchester,EX3 5EA,2022-11-23,Online,Lapsed,Post,,,,East Lothian,CRM,2022-11-23,2024-09-27,Ricky Ferguson
1095,dennis.roberts@gmail.com,01514960451,"Studio 49O
Kathryn road",Manchester,SY8 7AG,2020-03-06,Direct Mail,Active,Post,,,,,CRM,2020-03-06,2021-08-04,Dennis Roberts
1096,ashleigh.powell@btinternet.com,+44(0)141 496 0878,"Studio 11D
Irene place",Walshfort,L9F 4UB,2022-05-09,Direct Mail,Active,Email,,,,Eilean Siar,CRM,2022-05-09,2022-09-17,Ashleigh Powell
1097,paige.taylor@hotmail.co.uk,,3 Jessica path,Port Staceyville,YO5H 1SN,2020-01-20,Telemarkating,Active,Email,,(01632) 960 778,,West Yorkshire,CRM,2020-01-20,2020-06-10,Paige Taylor
1098,mohamed.hughes@btinternet.com,01632 960447,9 King points,West Gerald,AL8 7UW,2021-10-11,Direct Mail,Active,Post,,,,East Renfrewshire,CRM,2021-10-11,2022-07-09,Mohamed Hughes
1099,carolyn.read@btinternet.com,(0306) 9990006,"Flat 1
Anne drive",New Suzanneburgh,E6 3UR,2021-05-22,Event,Active,Email,carolyn_839@gmail.com,,,Greater Manchester,CRM,2021-05-22,2021-09-03,Carolyn Read
1100,danny.akhtar@hotmail.co.uk,+441632960555,"Studio 66
Mason burg",Juneburgh,HU3R 4EQ,2020-02-03,Direct Mail,Active,Post,danny_442@yahoo.co.uk,01134960628,Flat 51B,,CRM,2020-02-03,2020-06-03,Danny Akhtar
1101,gemma.payne@btinternet.com,+44(0)29 2018 0569,"Flat 53t
Robinson place",Manchester,G2D 2WH,2023-06-14,Event,Active,None,,+44(0)151 4960957,Flat 98,Dumfries and Galloway,CRM,2023-06-14,2024-07-03,Gemma Payne
1102,,(0141) 4960241,021 Edwards cliffs,Liverpool,W52 4DS,2023-02-15,Online,Active,Post,david_175@yahoo.co.uk,0808 1570411,,Glasgow City,CRM,2023-02-15,2023-12-22,David Khan
1103,,+44115 496 0616,079 Kathleen flats,London,HG6Y 7ZU,2022-03-14,Direct Mail,Active,Email,,,,Norfolk,CRM,2022-03-14,2022-07-28,Bryan Gill
1104,,0117 496 0106,"Studio 2
Mills brook",Newcastle,M5S 3TH,2020-12-16,Legacy,Active,Phone,,,,Dumfries and Galloway,CRM,2020-12-16,2021-09-22,Ian Connor
1105,emily.pollard@hotmail.co.uk,+448081570163,"Flat 73A
Harry centers",Elliotburgh,E4 4GW,2023-06-01,Direct Mail,Active,Email,,+44(0)28 9018 0581,,East Sussex,CRM,2023-06-01,2024-08-22,Emily Pollard
1106,susan.pearson,0141 496 0869,"Flat 79
Hussain port",Amandachester,CT55 1GU,2021-11-18,Online,Active,Post,,+44909 879 0202,,West Sussex,CRM,2021-11-18,2023-03-17,Susan Pearson
1107,rosemary.oliver@hotmail.co.uk,+44141 4960865,0 Carl way,Newcastle,E79 9HB,2024-01-26,Event,Active,Email,,,,Carmarthenshire,CRM,2024-01-26,2024-10-02,Rosemary Oliver
1108,dorothy.kaur@btinternet.com,+44(0)115 4960480,262 Matthews cliffs,South Hayley,S9 7LB,2024-12-24,Event,Lapsed,Post,,,,Gloucestershire,CRM,2024-12-24,2026-01-10,Dorothy Kaur
1109,kerry.atkinson@gmail.com,+44292018105,"Studio 72s
Williams crescent",Frederickmouth,AB6 2AH,2023-12-30,Direct Mail,Active,Email,kerry_491@gmail.com,,,Greater Manchester,CRM,2023-12-30,2024-02-03,Kerry Atkinson
1110,leigh.dennis@outlook.com,(029)2018552,"Studio 97x
Tomlinson cove",London,M5U 6GT,2022-10-27,Event,Lapsed,Email,,,,Greater London,CRM,2022-10-27,2023-12-03,Leigh Dennis
1111,maria.hudson@hotmail.co.uk,+44(0)118 496 0900,956 Sanders lodge,Cliffordton,AX57 4JK,2021-10-30,Online,Active,Email,,+44(0)808 157 0714,Flat 22,,CRM,2021-10-30,2023-08-07,Maria Hudson
1112,lynn.barnett@outlook.com,0151 4960878,94 Marsh orchard,Birmingham,E3 9GP,2024-05-01,Event,Lapsed,Email,lynn_282@gmail.com,,,,CRM,2024-05-01,2025-01-21,Lynn Barnett
1113,judith.hooper@outlook.com,+44(0)1514960889,"Flat 62m
Charles walk",Liverpool,HD0M 8ZS,2020-06-02,Direct Mail,Active,Email,judith_257@yahoo.co.uk,,Flat 12v,Derbyshire,CRM,2020-06-02,2021-09-15,Judith Hooper
1114,jasmine.harris@hotmail.co.uk,+441632 960 748,2 McDonald port,London,N2 1GZ,2021-12-24,Direct Mail,Active,Email,jasmine_479@yahoo.co.uk,,,Falkirk,CRM,2021-12-24,2023-10-27,Jasmine Harris
1115,nicola.harding@gmail.com,+44(0)114 496 0239,05 Justin avenue,Liverpool,FK13 3YS,2023-07-22,Event,Active,Email,,,,Perth and Kinross,CRM,2023-07-22,2024-03-24,Nicola Harding
1116,abdul.whitehead,,"Flat 7
Christian islands",London,ZE1M 2WW,2022-02-15,Event,Active,Post,,+44909 879 0847,,,CRM,2022-02-15,2023-11-21,Abdul Whitehead
1117,trevor.bailey@gmail.com,0116 496 0028,"Studio 41I
Nolan estates",Manchester,HU9P 0EP,2024-06-26,Event,Active,Email,,+4420 74960527,Flat 14O,Worcestershire,CRM,2024-06-26,2025-09-20,Trevor Bailey
1118,rita.carr@btinternet.com,+44116 496 0426,5 Robin walks,West Colinmouth,S69 5SR,2020-05-12,Event,Active,Email,,,,Armagh,CRM,2020-05-12,2021-11-13,Rita Carr
1119,conor.jackson@outlook.com,+44(0)29 2018528,52 Joanna brooks,New Dennisstad,IM90 0EA,2023-07-18,Telemarkating,Active,Post,conor_284@gmail.com,,,Lancashire,CRM,2023-07-18,2023-12-24,Conor Jackson
1120,graham.russell@outlook.com,+441134960326,876 Mitchell track,London,WN0A 1RP,2022-04-27,Event,Active,Email,,,,Caernarvonshire,CRM,2022-04-27,2022-08-16,Graham Russell
1121,lawrence.harrison@btinternet.com,(0306)9990387,"Flat 57Q
Lamb loop",Bristol,E7D 3JX,2023-01-28,Telemarkating,Active,Email,,(028) 9018 0208,,West Sussex,CRM,2023-01-28,2023-09-14,Lawrence Harrison
1122,conor.berry@gmail.com,+441414960824,33 Berry mount,New Nicole,DH71 6DP,2024-03-01,Telemarkating,Lapsed,Email,,,,Dumfries and Galloway,CRM,2024-03-01,2025-06-16,Conor Berry
1123,martyn.morrison@yahoo.co.uk,(0114) 4960196,"Flat 0
Kayleigh burgs",Dohertymouth,E7W 4PX,2020-05-27,Online,Active,Email,martyn_893@yahoo.co.uk,,,West Lothian,CRM,2020-05-27,2020-12-18,Martyn Morrison
1124,jeffrey.simpson@btinternet.com,+44113 496 0005,21 Jason valleys,Liverpool,G4 4RY,2020-11-15,Event,Active,Email,,+442074960985,Studio 84,Cardiganshire,CRM,2020-11-15,2022-02-24,Jeffrey Simpson
